,word1_id,word2_id,count
758,46907,12127,1
759,46907,29915,1
760,47338,35795,2
761,47338,18345,1
762,47338,1598,1
763,44102,906,17
764,44102,32721,6
765,44102,33253,2
766,18928,18345,1
767,18928,1598,1
768,18928,10098,1
769,39101,42909,22
770,39101,12887,4
771,39101,31176,4
772,18345,906,7
773,18345,9753,6
774,18345,26005,4
775,1598,5855,2
776,1598,10808,2
777,1598,46376,2
778,20934,906,19
779,20934,12887,11
780,20934,32839,8
781,43649,18345,1
782,43649,1598,1
783,43649,10098,1
784,11175,12887,12
785,11175,33619,12
786,11175,43544,8
787,10098,18345,1
788,10098,1598,1
789,10098,15334,1
790,40322,10870,53
791,40322,32839,46
792,40322,906,29
793,16862,26216,2
794,16862,22432,1
795,16862,30,1
796,3716,8891,103
797,3716,721,69
798,3716,906,66
799,1899,46025,36
800,1899,47751,36
801,1899,46914,36
802,22432,9633,2
803,22432,7571,2
804,22432,30,1
805,30,24653,18
806,30,9199,15
807,30,721,14
808,8675,32172,4
809,8675,5457,2
810,8675,32839,2
811,26983,6556,1
812,26983,7343,1
813,6556,906,8
814,6556,37535,5
815,6556,27003,4
816,22110,6556,5
817,22110,24473,4
818,22110,45444,3
819,26373,906,228
820,26373,32412,85
821,26373,46583,61
822,13379,6556,3
823,13379,11871,2
824,13379,25516,2
825,1209,906,144
826,1209,32839,61
827,1209,31176,44
828,23069,1117,8
829,23069,906,6
830,23069,8313,5
831,17367,20775,34
832,17367,906,11
